Reference, Value, Footprint, Datasheet
"U2","2.3inch7SegmentDisplay","WemosClock:2.3_in_7_seg_display",""
"U3","2.3inch7SegmentDisplay","WemosClock:2.3_in_7_seg_display",""
"U4","2.3inch7SegmentDisplay","WemosClock:2.3_in_7_seg_display",""
"Q12","2907A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"Q8","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R8","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R10","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q13","2907A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"Q9","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R11","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R13","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R12","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q14","2907A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"Q10","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R14","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R16","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R15","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q15","2907A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"Q11","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R17","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R19","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R18","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R25","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q2","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R21","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q7","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R26","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q1","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R20","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R1","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q6","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R6","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R24","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q5","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R5","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R23","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q4","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R4","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R22","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q3","2222A","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R3","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"D1","LED","LED_THT:LED_D5.0mm","~"
"D2","LED","LED_THT:LED_D5.0mm","~"
"U0","WeMos D1 mini","WemosClock:WEMOS_D1_mini_3.0.0","https://wiki.wemos.cc/products:d1:d1_mini#documentation"
"R27","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R28","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","2.3inch7SegmentDisplay","WemosClock:2.3_in_7_seg_display",""
"U5","7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"C1","470 μF","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"J1","Screw_Terminal_01x02","WemosClock:TerminalBlock_bornier-2_P5.08mm","~"
"PS1","HLK-5M12","WemosClock:HLK-5M12","http://www.hlktech.net/product_detail.php?ProId=54"
